"","INSEE","NAME","DPT","REG2016","POP","winT1","ABST1","PCFNT1","PCFNT1INSCRITS","ABST2","PCFNT2","winnerT2","DIFF_ABS","DIFF_PCFN"
"4718","14217","Dampierre","14",28,121,"LFN",50,32.73,15.79,44.74,50.85,"LFN",-5.26,18.12
"4719","14218","Danestal","14",28,332,"LFN",52.92,35.71,16.42,40.15,36.08,"LUD",-12.77,0.369999999999997
"4720","14219","Danvou-la-Ferrière","14",28,169,"GAUCHE",46.15,24.24,12.31,44.62,27.94,"GAUCHE",-1.53,3.7
"4721","14220","Deauville","14",28,3775,"DROITE",52.15,25.41,11.73,44.38,23.11,"LUD",-7.77,-2.3
"4722","14221","Démouville","14",28,3297,"GAUCHE",48.22,25.64,12.84,37.18,23.82,"GAUCHE",-11.04,-1.82
"4723","14222","Le Désert","14",28,85,"DROITE",64.41,15,5.08,47.46,26.67,"LUD",-16.95,11.67
"4724","14223","Le Détroit","14",28,90,"DROITE",46.05,20,10.53,35.53,21.28,"LUD",-10.52,1.28
"4725","14224","Deux-Jumeaux","14",28,65,"LFN",52.83,40,18.87,39.62,33.33,"LUD",-13.21,-6.67
"4726","14225","Dives-sur-Mer","14",28,5867,"LFN",55,26.18,11.23,45.43,28.19,"GAUCHE",-9.57,2.01
"4727","14226","Donnay","14",28,222,"LFN",56.07,29.89,12.15,49.77,34.69,"GAUCHE",-6.3,4.8
"4728","14227","Douville-en-Auge","14",28,224,"LFN",39.46,37.04,21.62,26.49,30,"LUD",-12.97,-7.04
"4729","14228","Douvres-la-Délivrande","14",28,5072,"DROITE",48.36,18.48,9.28,38.83,16.66,"GAUCHE",-9.53,-1.82
"4730","14229","Dozulé","14",28,2022,"DROITE",46.57,24.66,12.71,38.38,27.68,"LUD",-8.19,3.02
"4731","14230","Drubec","14",28,110,"DROITE",26.26,27.54,19.19,31.31,29.23,"LUD",5.05,1.69
"4732","14231","Beaufour-Druval","14",28,425,"LFN",55.43,39.07,17.3,41.06,40.21,"LFN",-14.37,1.14
"4733","14232","Ducy-Sainte-Marguerite","14",28,138,"DROITE",48.87,17.91,9.02,36.84,23.17,"LUD",-12.03,5.26
"4734","14235","Ecrammeville","14",28,199,"DROITE",43.37,29.03,16.27,33.13,31.43,"LUD",-10.24,2.4
"4735","14236","Ellon","14",28,482,"LFN",44.97,33.77,17.11,32.55,31.41,"GAUCHE",-12.42,-2.36
"4736","14237","Emiéville","14",28,584,"DROITE",52.15,24.34,11,43.78,21.24,"LUD",-8.37,-3.1
"4737","14238","Englesqueville-en-Auge","14",28,119,"DROITE",36.84,28.17,17.54,27.19,28.21,"LUD",-9.65,0.0399999999999991
"4738","14239","Englesqueville-la-Percée","14",28,83,"DROITE",56.32,31.43,12.64,51.72,41.03,"LUD",-4.6,9.6
"4739","14240","Epaney","14",28,514,"LFN",48.31,36.7,17.92,41.04,36.53,"LUD",-7.27,-0.170000000000002
"4740","14241","Epinay-sur-Odon","14",28,673,"LFN",48.6,26.94,13.2,40.4,27.37,"GAUCHE",-8.2,0.43
"4741","14242","Epron","14",28,1577,"GAUCHE",36.48,8.57,5.33,28.62,7.22,"GAUCHE",-7.86,-1.35
"4742","14243","Equemauville","14",28,1367,"DROITE",46.04,24.46,12.74,35.77,27.02,"LUD",-10.27,2.56
"4743","14244","Eraines","14",28,331,"DROITE",43.39,29.1,16.12,31.4,28.66,"LUD",-11.99,-0.440000000000001
"4744","14245","Ernes","14",28,316,"DROITE",46.34,23.44,12.2,37.8,24.65,"LUD",-8.54000000000001,1.21
"4745","14246","Escoville","14",28,751,"DROITE",46.83,20.13,10.29,36.54,20.67,"GAUCHE",-10.29,0.540000000000003
"4746","14248","Espins","14",28,217,"GAUCHE",42.31,24.04,13.74,26.37,22.73,"GAUCHE",-15.94,-1.31
"4747","14249","Esquay-Notre-Dame","14",28,1433,"DROITE",48.08,25.89,12.77,33.64,25.37,"GAUCHE",-14.44,-0.52
"4748","14250","Esquay-sur-Seulles","14",28,321,"DROITE",56.94,17.5,7.29,44.44,19.87,"GAUCHE",-12.5,2.37
"4749","14251","Esson","14",28,497,"LFN",52.41,32.94,14.97,38.24,33.64,"LUD",-14.17,0.700000000000003
"4750","14252","Estrées-la-Campagne","14",28,236,"DROITE",55.38,28.57,11.83,32.28,27.45,"LUD",-23.1,-1.12
"4751","14253","Estry","14",28,357,"LFN",50.61,44.86,19.59,40,38.97,"LUD",-10.61,-5.89
"4752","14254","Eterville","14",28,1389,"DROITE",41.49,17.28,9.82,30.7,16.95,"GAUCHE",-10.79,-0.330000000000002
"4753","14255","Etouvy","14",28,302,"DROITE",42.6,21.9,10.31,32.74,20.86,"LUD",-9.86,-1.04
"4754","14256","Etréham","14",28,291,"LFN",39,33.33,19.09,29.46,36.42,"LUD",-9.54,3.09
"4755","14257","Evrecy","14",28,1824,"DROITE",43.18,17.46,9.6,32.53,15.54,"LUD",-10.65,-1.92
"4756","14258","Falaise","14",28,8413,"DROITE",56.99,22.51,9.32,47.46,22.13,"LUD",-9.53,-0.380000000000003
"4757","14259","Familly","14",28,122,"DROITE",37.76,33.9,20.41,30.61,30.88,"LUD",-7.15,-3.02
"4758","14260","Fauguernon","14",28,244,"DROITE",38.57,20.63,12.38,30.62,27.66,"LUD",-7.95,7.03
"4759","14261","Le Faulq","14",28,342,"DROITE",50.4,29.75,14.29,42.86,30.22,"LUD",-7.54,0.469999999999999
"4760","14264","La Ferrière-Harang","14",28,315,"LFN",55.45,29.35,12.27,40.45,34.96,"LUD",-15,5.61
"4761","14265","Fervaques","14",28,690,"LFN",56.17,35.29,14.8,46.11,36.73,"LFN",-10.06,1.44
"4762","14266","Feuguerolles-Bully","14",28,1392,"DROITE",40.76,23.13,13.28,28.8,21.96,"GAUCHE",-11.96,-1.17
"4763","14268","Fierville-Bray","14",28,516,"GAUCHE",47.72,26.24,13.45,34.26,24.11,"GAUCHE",-13.46,-2.13
"4764","14269","Fierville-les-Parcs","14",28,218,"DROITE",44.3,34.09,18.99,32.91,26.67,"LUD",-11.39,-7.42
"4765","14270","Firfol","14",28,448,"LFN",47.84,32.57,16.43,35.16,29.36,"LUD",-12.68,-3.21
"4766","14271","Fleury-sur-Orne","14",28,4299,"GAUCHE",49.56,21.1,10.2,39.72,20.26,"GAUCHE",-9.84,-0.84
"4767","14272","La Folie","14",28,124,"LFN",31.82,36.36,22.73,36.36,45.28,"LFN",4.54,8.92
"4768","14273","La Folletière-Abenon","14",28,149,"DROITE",57.05,26.98,10.9,49.36,34.67,"LUD",-7.69,7.69
"4769","14274","Fontaine-Etoupefour","14",28,2080,"DROITE",43.53,14.13,7.62,30.42,12.71,"LUD",-13.11,-1.42
"4770","14275","Fontaine-Henry","14",28,484,"DROITE",48.5,25.14,12.53,34.88,24.02,"LUD",-13.62,-1.12
"4771","14276","Fontaine-le-Pin","14",28,360,"LFN",44.52,28.67,15.19,36.4,25.58,"GAUCHE",-8.12,-3.09
"4772","14277","Fontenay-le-Marmion","14",28,1677,"GAUCHE",49.68,26.54,12.91,37.09,27.54,"GAUCHE",-12.59,1
"4773","14278","Fontenay-le-Pesnel","14",28,1054,"GAUCHE",48.15,22.73,11.11,38.15,23.09,"GAUCHE",-10,0.359999999999999
"4774","14279","Fontenermont","14",28,142,"LFN",47.5,35,17.5,44.63,29.23,"LUD",-2.87,-5.77
"4775","14280","Formentin","14",28,212,"LFN",48.09,39.13,19.67,38.8,35.19,"LUD",-9.29000000000001,-3.94
"4776","14281","Formigny","14",28,244,"LFN",45.5,31.31,16.4,38.1,32.43,"LUD",-7.4,1.12
"4777","14282","Foulognes","14",28,210,"DROITE",54.97,25.81,10.6,49.01,22.67,"LUD",-5.96,-3.14
"4778","14283","Fourches","14",28,226,"LFN",55.48,41.18,18.06,41.29,42.22,"LFN",-14.19,1.04
"4779","14284","Fourneaux-le-Val","14",28,170,"LFN",48.89,38.71,17.78,35.56,38.55,"LFN",-13.33,-0.160000000000004
"4780","14285","Le Fournet","14",28,56,"LFN",56.36,34.78,14.55,50.91,42.31,"LFN",-5.45,7.53
"4781","14286","Fourneville","14",28,495,"DROITE",46.54,22.58,11.63,32.13,28.87,"LUD",-14.41,6.29
"4782","14287","Frénouville","14",28,1867,"LFN",46.89,29.68,15.07,35.48,28.62,"GAUCHE",-11.41,-1.06
"4783","14288","Le Fresne-Camilly","14",28,800,"GAUCHE",40.84,13.14,7.66,29.13,9.78,"GAUCHE",-11.71,-3.36
"4784","14289","Fresné-la-Mère","14",28,590,"DROITE",43.65,26.5,14.02,30.69,29.02,"LUD",-12.96,2.52
"4785","14290","Fresney-le-Puceux","14",28,757,"LFN",44.73,26.82,13.78,34.52,26.83,"GAUCHE",-10.21,0.00999999999999801
"4786","14291","Fresney-le-Vieux","14",28,278,"LFN",44.15,35.35,18.62,33.51,33.88,"LUD",-10.64,-1.47
"4787","14292","Friardel","14",28,240,"LFN",55.5,47.78,20.57,43.54,42.86,"LFN",-11.96,-4.92
"4788","14293","Fumichon","14",28,276,"DROITE",52.4,35.04,16.4,43.2,41.3,"LUD",-9.2,6.26
"4789","14294","Garcelles-Secqueville","14",28,768,"GAUCHE",52.55,20.66,9.2,39.24,16.57,"GAUCHE",-13.31,-4.09
"4790","14296","Le Gast","14",28,219,"DROITE",47.62,31.08,13.69,35.71,25,"LUD",-11.91,-6.08
"4791","14297","Gavrus","14",28,544,"DROITE",46.56,22.09,11.25,38.44,19.89,"GAUCHE",-8.12,-2.2
"4792","14298","Géfosse-Fontenay","14",28,131,"LFN",38.46,44,25.38,23.85,40,"LFN",-14.61,-4
"4793","14299","Genneville","14",28,779,"DROITE",44.92,31.56,16.73,37.59,28.79,"LUD",-7.33,-2.77
"4794","14300","Gerrots","14",28,52,"DROITE",46.67,17.39,8.89,35.56,22.22,"LUD",-11.11,4.83
"4795","14301","Giberville","14",28,4972,"GAUCHE",50.65,25.04,11.82,43.07,24.23,"GAUCHE",-7.58,-0.809999999999999
"4796","14302","Glanville","14",28,174,"DROITE",37.57,25.23,15.61,31.21,24.35,"LUD",-6.36,-0.879999999999999
"4797","14303","Glos","14",28,905,"LFN",48.25,33.6,16.85,38.01,34.16,"LUD",-10.24,0.559999999999995
"4798","14304","Gonneville-sur-Honfleur","14",28,835,"DROITE",47.99,20.6,10.4,37.86,25.11,"LUD",-10.13,4.51
"4799","14305","Gonneville-sur-Mer","14",28,682,"DROITE",44.34,29.12,16.02,36.73,25.2,"LUD",-7.61000000000001,-3.92
"4800","14306","Gonneville-en-Auge","14",28,435,"DROITE",39.55,26.78,15.76,35.37,22.34,"LUD",-4.18,-4.44
"4801","14307","Goupillières","14",28,177,"LFN",37.5,25.88,15.28,29.17,25.51,"GAUCHE",-8.33,-0.369999999999997
"4802","14308","Goustranville","14",28,194,"DROITE",41.61,24.68,13.87,34.31,23.33,"LUD",-7.3,-1.35
"4803","14309","Gouvix","14",28,761,"GAUCHE",46.08,27.86,14.4,38.08,29.29,"GAUCHE",-8,1.43
"4804","14310","Grainville-Langannerie","14",28,727,"LFN",50.4,30.34,14.37,40.28,29.54,"LUD",-10.12,-0.800000000000001
"4805","14311","Grainville-sur-Odon","14",28,955,"GAUCHE",50.83,24.56,11.57,39.39,22.46,"GAUCHE",-11.44,-2.1
"4806","14312","Grandcamp-Maisy","14",28,1769,"LFN",50.85,38.89,18.42,42.6,36.43,"LUD",-8.25,-2.46
"4807","14313","Grandchamp-le-Château","14",28,67,"LFN",30.36,35.9,25,21.43,32.56,"LUD",-8.93,-3.34
"4808","14316","Grangues","14",28,246,"DROITE",45.98,21.05,10.71,37.95,20.9,"LUD",-8.02999999999999,-0.150000000000002
"4809","14317","La Graverie","14",28,1139,"DROITE",45.68,21.23,10.8,32.72,21.23,"LUD",-12.96,0
"4810","14318","Graye-sur-Mer","14",28,637,"DROITE",39.87,22.87,13.14,30.51,24.83,"GAUCHE",-9.36,1.96
"4811","14319","Grentheville","14",28,884,"GAUCHE",46.45,24.86,12.78,40.77,22.83,"GAUCHE",-5.68,-2.03
"4812","14320","Grimbosq","14",28,283,"GAUCHE",43.23,27.05,14.41,30.13,28.76,"GAUCHE",-13.1,1.71
"4813","14322","Guéron","14",28,245,"DROITE",45.77,24.51,12.44,33.83,24.43,"LUD",-11.94,-0.0800000000000018
"4814","14324","Hamars","14",28,442,"LFN",49.86,32.52,15.36,36.23,34.6,"LFN",-13.63,2.08
"4815","14325","Hermanville-sur-Mer","14",28,2801,"DROITE",46.64,21.4,11.14,38.46,19.82,"GAUCHE",-8.18,-1.58
"4816","14326","Hermival-les-Vaux","14",28,841,"DROITE",46.77,21.67,11.19,37.59,24.17,"LUD",-9.18,2.5
"4817","14327","Hérouville-Saint-Clair","14",28,21411,"DROITE",52.51,12.49,5.75,43.64,12.53,"GAUCHE",-8.87,0.0399999999999991
"4818","14328","Hérouvillette","14",28,1140,"GAUCHE",41.38,24.34,13.35,30.48,24.11,"GAUCHE",-10.9,-0.23
"4819","14329","Heuland","14",28,81,"LFN",49.4,39.02,19.28,43.37,37.78,"LUD",-6.03,-1.24
"4820","14330","Heurtevent","14",28,210,"LFN",37.68,40.74,23.91,30.43,39.13,"LUD",-7.25,-1.61
"4821","14331","Hiéville","14",28,272,"DROITE",47.39,29.91,15.17,40.76,26.89,"LUD",-6.63,-3.02
"4822","14332","La Hoguette","14",28,694,"LFN",53.9,28.81,13.01,38.48,30.75,"GAUCHE",-15.42,1.94
"4823","14333","Honfleur","14",28,7913,"DROITE",59.89,25.89,9.99,48.83,25.57,"LUD",-11.06,-0.32
"4824","14334","L'Hôtellerie","14",28,332,"DROITE",54.47,29.91,13.01,42.68,31.62,"LUD",-11.79,1.71
"4825","14335","Hotot-en-Auge","14",28,308,"DROITE",42.47,28.28,15.83,33.98,29.76,"LUD",-8.49,1.48
"4826","14336","Hottot-les-Bagues","14",28,486,"LFN",51.4,32.5,14.61,35.96,33.18,"LUD",-15.44,0.68
"4827","14337","La Houblonnière","14",28,335,"LFN",47.33,38.89,20.16,38.68,39.73,"LFN",-8.65,0.839999999999996
"4828","14338","Houlgate","14",28,2043,"DROITE",44.79,24.22,12.99,35.57,23.89,"LUD",-9.22,-0.329999999999998
"4829","14339","Hubert-Folie","14",28,355,"DROITE",44.49,24.43,13.06,31.43,20.73,"LUD",-13.06,-3.7
"4830","14341","Ifs","14",28,11450,"GAUCHE",53.05,17.91,8.15,42.25,17.29,"GAUCHE",-10.8,-0.620000000000001
"4831","14342","Isigny-sur-Mer","14",28,2782,"LFN",58.17,36.19,14.23,49.7,36.01,"LUD",-8.47,-0.18
"4832","14343","Les Isles-Bardel","14",28,66,"DROITE",21.82,23.26,18.18,20,27.27,"LUD",-1.82,4.01
"4833","14344","Janville","14",28,365,"DROITE",48.6,27.16,13.71,35.2,23.67,"LUD",-13.4,-3.49
"4834","14345","Jort","14",28,327,"DROITE",50.21,29.73,14.16,42.67,31.5,"LUD",-7.54,1.77
"4835","14346","Juaye-Mondaye","14",28,673,"DROITE",52.42,29.64,13.46,39.32,31.19,"LUD",-13.1,1.55
"4836","14347","Jurques","14",28,678,"LFN",51.28,41.81,19.06,41.45,42.2,"LFN",-9.83,0.390000000000001
"4837","14348","Juvigny-sur-Seulles","14",28,74,"DROITE",43.08,16.67,9.23,41.54,13.16,"LUD",-1.54,-3.51
"4838","14349","Laize-la-Ville","14",28,657,"LFN",34.02,28.47,17.93,21.84,30.84,"LUD",-12.18,2.37
"4839","14350","La Lande-sur-Drôme","14",28,66,"LFN",31.25,28.13,18.75,12.5,35.71,"LFN",-18.75,7.58
"4840","14352","Landelles-et-Coupigny","14",28,856,"DROITE",49.92,28.38,12.93,38.5,28.39,"LUD",-11.42,0.0100000000000016
"4841","14353","Landes-sur-Ajon","14",28,406,"DROITE",43.9,24.68,13.24,34.84,22.35,"LUD",-9.06,-2.33
"4842","14354","Langrune-sur-Mer","14",28,1743,"GAUCHE",44.28,21.74,11.71,34.44,21.75,"GAUCHE",-9.84,0.0100000000000016
"4843","14355","Lantheuil","14",28,652,"GAUCHE",48.82,20.59,10.16,38.48,23.31,"GAUCHE",-10.34,2.72
"4844","14356","Lasson","14",28,591,"DROITE",39.62,21.94,12.79,31.21,18.46,"LUD",-8.41,-3.48
"4845","14357","Lassy","14",28,339,"LFN",50,34.78,16,41.6,29.93,"LUD",-8.4,-4.85
"4846","14358","Léaupartie","14",28,90,"DROITE",41.1,26.32,13.7,38.36,28.57,"LUD",-2.74,2.25
"4847","14359","Lécaude","14",28,152,"LFN",38.89,35.71,19.84,26.98,35.56,"LFN",-11.91,-0.149999999999999
"4848","14360","Leffard","14",28,191,"LFN",38.21,30.56,17.89,23.58,35.56,"GAUCHE",-14.63,5
"4849","14361","Lénault","14",28,184,"DROITE",46.51,28.81,13.18,41.09,34.25,"LUD",-5.41999999999999,5.44
"4850","14362","Lessard-et-le-Chêne","14",28,154,"DROITE",44.44,24.66,13.33,41.48,20.78,"LUD",-2.96,-3.88
"4851","14364","Lingèvres","14",28,490,"DROITE",49.56,31.88,15.04,33.92,28.84,"LUD",-15.64,-3.04
"4852","14365","Lion-sur-Mer","14",28,2568,"GAUCHE",47.68,20.41,10.35,37.85,19.41,"GAUCHE",-9.83,-1
"4853","14366","Lisieux","14",28,21170,"DROITE",56.34,26.01,10.75,47.09,26.97,"LUD",-9.25,0.959999999999997
"4854","14367","Lison","14",28,467,"LFN",54.65,33.86,12.5,45.93,42.94,"LFN",-8.72,9.08
"4855","14368","Lisores","14",28,305,"LFN",48.8,33.06,16,39.6,35.21,"LUD",-9.2,2.15
"4856","14369","Litteau","14",28,276,"LFN",51.87,26.26,12.15,42.06,32.5,"GAUCHE",-9.81,6.24
"4857","14370","Le Molay-Littry","14",28,3080,"LFN",51.08,35.52,16.56,42.46,34.95,"LUD",-8.62,-0.57
"4858","14371","Livarot","14",28,2183,"DROITE",50.37,30.17,14.07,41.54,31.7,"LUD",-8.83,1.53
"4859","14372","Livry","14",28,762,"LFN",57.26,34.4,13.56,45.58,30.31,"LUD",-11.68,-4.09
"4860","14373","Le Locheur","14",28,267,"GAUCHE",42.86,13.22,7.14,40.63,16.92,"GAUCHE",-2.23,3.7
"4861","14374","Les Loges","14",28,125,"LFN",50.96,34.04,15.38,47.12,36.54,"LFN",-3.84,2.5
"4862","14375","Les Loges-Saulces","14",28,176,"LFN",49.25,40,19.4,39.55,35.8,"LFN",-9.7,-4.2
"4863","14376","Longraye","14",28,243,"LFN",53.61,27.27,12.65,33.73,22.22,"GAUCHE",-19.88,-5.05
"4864","14377","Longues-sur-Mer","14",28,635,"DROITE",43.09,26.54,14.02,38.21,23.97,"LUD",-4.88,-2.57
"4865","14378","Longueville","14",28,310,"LFN",53.81,42.86,18.83,43.05,44.35,"LFN",-10.76,1.49
"4866","14379","Longvillers","14",28,369,"LFN",40.77,35.98,20.56,34.15,39.44,"LFN",-6.62,3.46
"4867","14380","Loucelles","14",28,190,"DROITE",41.3,30.77,17.39,34.06,26.67,"LUD",-7.23999999999999,-4.1
"4868","14381","Louvagny","14",28,64,"LFN",40.3,43.75,20.9,38.81,50,"LFN",-1.48999999999999,6.25
"4869","14382","Louvières","14",28,76,"LFN",33.33,34.21,21.67,20,28.89,"LUD",-13.33,-5.32
"4870","14383","Louvigny","14",28,2719,"GAUCHE",46.52,15.63,8.11,37.11,14.53,"GAUCHE",-9.41,-1.1
"4871","14384","Luc-sur-Mer","14",28,3134,"DROITE",46.93,22.23,11.37,38.32,19.9,"GAUCHE",-8.61,-2.33
"4872","14385","Magny-en-Bessin","14",28,157,"DROITE",42.02,32.81,17.65,33.61,26.67,"LUD",-8.41,-6.14
"4873","14386","Magny-la-Campagne","14",28,568,"LFN",55.06,30.85,13.03,45.84,30.17,"GAUCHE",-9.22,-0.68
"4874","14387","Magny-le-Freule","14",28,311,"LFN",44.87,26.57,14.45,37.64,25.64,"GAUCHE",-7.23,-0.93
"4875","14388","Maisoncelles-la-Jourdan","14",28,467,"DROITE",54.84,26.14,10.75,38.98,24.77,"LUD",-15.86,-1.37
"4876","14389","Maisoncelles-Pelvey","14",28,264,"GAUCHE",54.4,20.48,8.81,45.08,23.81,"GAUCHE",-9.32,3.33
"4877","14390","Maisoncelles-sur-Ajon","14",28,195,"DROITE",44.68,26.39,13.48,34.75,27.78,"LUD",-9.93,1.39
"4878","14391","Maisons","14",28,390,"LFN",46.88,34.01,17.36,33.33,31.55,"LUD",-13.55,-2.46
"4879","14393","Maizet","14",28,321,"DROITE",36.99,22.3,13.41,26.83,26.59,"LUD",-10.16,4.29
"4880","14394","Maizières","14",28,452,"LFN",50.46,35.26,16.92,43.52,38.29,"LFN",-6.94,3.03
"4881","14395","Malloué","14",28,28,"DROITE",28,0,0,44,0,"LUD",16,0
"4882","14396","Maltot","14",28,931,"GAUCHE",40.73,19.25,10.94,27.36,17.13,"GAUCHE",-13.37,-2.12
"4883","14397","Mandeville-en-Bessin","14",28,365,"LFN",53.79,36.84,15.91,40.53,34.44,"LUD",-13.26,-2.40000000000001
"4884","14398","Manerbe","14",28,545,"DROITE",45.3,25.5,13.36,36.74,24.39,"LUD",-8.56,-1.11
"4885","14399","Manneville-la-Pipard","14",28,318,"DROITE",42.61,32.73,18.56,36.77,39.2,"LUD",-5.84,6.47000000000001
"4886","14400","Le Manoir","14",28,195,"DROITE",39.72,22.62,13.48,31.91,22.92,"LUD",-7.81,0.300000000000001
"4887","14401","Manvieux","14",28,124,"DROITE",38.24,25,14.71,35.29,33.33,"LUD",-2.95,8.33
"4888","14402","Le Marais-la-Chapelle","14",28,105,"LFN",43.82,40.43,21.35,33.71,47.46,"LFN",-10.11,7.03
"4889","14403","Marolles","14",28,744,"LFN",51.36,36.3,16.61,37.12,35.29,"LUD",-14.24,-1.01
"4890","14404","Martainville","14",28,108,"LFN",40,48.78,25,46.25,36.59,"LUD",6.25,-12.19
"4891","14405","Martigny-sur-l'Ante","14",28,320,"LFN",42.31,41.73,22.65,32.48,35.81,"LUD",-9.83000000000001,-5.91999999999999
"4892","14406","Martragny","14",28,372,"DROITE",48.62,17.81,8.97,36.9,16.95,"LUD",-11.72,-0.859999999999999
"4893","14407","Mathieu","14",28,1957,"DROITE",43.94,12.22,6.74,33.64,11.36,"LUD",-10.3,-0.860000000000001
"4894","14408","May-sur-Orne","14",28,1796,"LFN",51.11,27.77,13.03,40.18,23.36,"GAUCHE",-10.93,-4.41
"4895","14409","Merville-Franceville-Plage","14",28,2196,"DROITE",43.79,26.8,14.67,32.83,26.02,"LUD",-10.96,-0.780000000000001
"4896","14410","Méry-Corbon","14",28,1016,"LFN",49.12,34.76,16.76,37.94,37.62,"LFN",-11.18,2.86
"4897","14411","Meslay","14",28,231,"LFN",43.28,30,16.42,43.28,29.73,"GAUCHE",0,-0.27
"4898","14412","Le Mesnil-au-Grain","14",28,67,"GAUCHE",39.66,20.59,12.07,24.14,31.71,"GAUCHE",-15.52,11.12
"4899","14413","Le Mesnil-Auzouf","14",28,379,"LFN",49.78,28.97,13.78,39.11,25,"LUD",-10.67,-3.97
"4900","14414","Le Mesnil-Bacley","14",28,214,"DROITE",41.86,16.67,9.3,30.23,22.61,"LUD",-11.63,5.94
"4901","14415","Le Mesnil-Benoist","14",28,53,"DROITE",25,10.53,7.14,17.86,21.74,"LUD",-7.14,11.21
"4902","14416","Le Mesnil-Caussois","14",28,122,"DROITE",27.78,21.31,14.44,23.33,26.56,"LUD",-4.45,5.25
"4903","14417","Mesnil-Clinchamps","14",28,974,"LFN",52.19,30.88,13.53,42.01,33.72,"LUD",-10.18,2.84
"4904","14418","Le Mesnil-Durand","14",28,306,"LFN",46.19,30.17,15.7,35.43,26.24,"LUD",-10.76,-3.93
"4905","14419","Le Mesnil-Eudes","14",28,286,"LFN",55.13,38.46,17.11,46.77,42.54,"LFN",-8.36,4.08
"4906","14420","Le Mesnil-Germain","14",28,272,"LFN",51.72,36.26,16.26,43.35,35.78,"LUD",-8.37,-0.479999999999997
"4907","14421","Le Mesnil-Guillaume","14",28,615,"LFN",51.34,32.8,14.91,36.92,34.27,"LUD",-14.42,1.47000000000001
"4908","14422","Le Mesnil-Mauger","14",28,1058,"LFN",53.15,38.68,17.33,39.02,37.99,"LFN",-14.13,-0.689999999999998
"4909","14423","Le Mesnil-Patry","14",28,289,"LFN",44.87,31.97,16.67,38.03,32.17,"GAUCHE",-6.84,0.200000000000003
"4910","14424","Le Mesnil-Robert","14",28,215,"DROITE",46.36,30.56,14.57,39.07,31.25,"LUD",-7.29,0.690000000000001
"4911","14425","Le Mesnil-Simon","14",28,161,"DROITE",40.15,24.68,13.87,24.82,27.72,"LUD",-15.33,3.04
"4912","14426","Le Mesnil-sur-Blangy","14",28,171,"DROITE",37.93,21.5,13.22,31.61,25.22,"LUD",-6.32,3.72
"4913","14427","Le Mesnil-Villement","14",28,292,"DROITE",37.16,24.81,14.68,34.86,23.88,"LUD",-2.3,-0.93
"4914","14429","Meulles","14",28,389,"LFN",48.75,36.88,18.51,38.43,39.16,"LUD",-10.32,2.27999999999999
"4915","14430","Meuvaines","14",28,152,"DROITE",41.18,20.69,11.76,42.48,22.62,"LUD",1.3,1.93
"4916","14431","Mézidon-Canon","14",28,4958,"LFN",52.71,30.42,13.81,43.29,31.3,"GAUCHE",-9.42,0.879999999999999
"4917","14432","Missy","14",28,537,"DROITE",47.88,27.09,13.72,34.16,27.95,"LUD",-13.72,0.859999999999999
"4918","14433","Mittois","14",28,164,"LFN",57.26,34,13.71,45.16,31.25,"LUD",-12.1,-2.75
"4919","14435","Les Monceaux","14",28,179,"DROITE",37.91,34.88,19.61,31.37,32.35,"LUD",-6.54,-2.53
"4920","14436","Monceaux-en-Bessin","14",28,531,"LFN",43.4,33.62,18.4,30.66,31.49,"GAUCHE",-12.74,-2.13
"4921","14437","Mondeville","14",28,9604,"GAUCHE",48.12,21.73,10.81,39.64,21.5,"GAUCHE",-8.48,-0.23
"4922","14438","Mondrainville","14",28,500,"DROITE",48.07,22.56,11.31,35.22,21.85,"LUD",-12.85,-0.709999999999997
"4923","14439","Monfréville","14",28,105,"LFN",50,67.5,32.14,36.05,62.75,"LFN",-13.95,-4.75
"4924","14440","Montamy","14",28,89,"DROITE",35,36,22.5,32.5,36.54,"LUD",-2.5,0.539999999999999
"4925","14441","Mont-Bertrand","14",28,235,"LFN",58.17,35.09,13.07,42.48,33.73,"LUD",-15.69,-1.36000000000001
"4926","14442","Montchamp","14",28,583,"LFN",51.32,38.41,16.67,38.89,40.93,"LFN",-12.43,2.52
"4927","14443","Montchauvet","14",28,381,"LFN",49.36,40.87,20.17,39.48,47.01,"LFN",-9.88,6.14
"4928","14444","Monteille","14",28,151,"LFN",40.98,40.58,22.95,22.13,51.09,"LFN",-18.85,10.51
"4929","14445","Montfiquet","14",28,83,"LFN",39.02,46.67,25.61,37.8,41.67,"LFN",-1.22000000000001,-5
"4930","14446","Montigny","14",28,96,"DROITE",49.23,18.75,9.23,35.38,30,"LUD",-13.85,11.25
"4931","14448","Montreuil-en-Auge","14",28,51,"DROITE",27.5,11.11,7.5,35,8,"LUD",7.5,-3.11
"4932","14449","Monts-en-Bessin","14",28,419,"LFN",44.38,30.34,15.98,33.73,34.4,"LFN",-10.65,4.06
"4933","14450","Montviette","14",28,182,"LFN",60.51,52.73,18.47,43.95,51.19,"LFN",-16.56,-1.54
"4934","14452","Morteaux-Couliboeuf","14",28,572,"DROITE",50.37,29.02,13.69,41.08,31.65,"LUD",-9.29,2.63
"4935","14453","Mosles","14",28,385,"LFN",50.37,35.2,16.42,42.16,29.53,"LUD",-8.21,-5.67
"4936","14454","Mouen","14",28,1357,"GAUCHE",42.29,22.56,12.44,33.53,19.53,"GAUCHE",-8.76,-3.03
