"","INSEE","ABST2","PCFNT2","winnerT2"
"155","01170",43.52,32.39,"LUD"
"156","01171",41.8,29.06,"LUD"
"157","01172",41.22,32,"LUD"
"158","01173",55.66,18.66,"LUD"
"159","01174",43.07,10.53,"LUD"
"160","01175",43.09,29.5,"LUD"
"161","01176",32.14,26.39,"LUD"
"162","01177",30.56,16.67,"GAUCHE"
"163","01179",38.42,27.28,"LUD"
"164","01180",50.99,17.43,"LUD"
"165","01181",42.39,28.77,"LUD"
"166","01182",41.86,32.76,"LUD"
"167","01183",36.78,40.17,"LFN"
"168","01184",34.99,26.74,"GAUCHE"
"169","01185",47.03,31.1,"LUD"
"170","01186",28.75,24.56,"LUD"
"171","01187",36.43,23.81,"LUD"
"172","01188",36.27,35.45,"LUD"
"173","01189",41.23,33.81,"GAUCHE"
"174","01190",36.84,23.61,"GAUCHE"
"175","01191",37.86,27.16,"LUD"
"176","01192",42.54,33.94,"LUD"
"177","01193",38.3,28.95,"GAUCHE"
"178","01194",41.65,31.3,"LUD"
"179","01195",34.64,20.68,"LUD"
"180","01196",43.35,38.64,"LUD"
"181","01197",26.44,14.52,"GAUCHE"
"182","01198",42.47,21.9,"LUD"
"183","01199",42.18,28.71,"GAUCHE"
"184","01200",34.88,25.33,"GAUCHE"
"185","01202",46.67,29.84,"LUD"
"186","01203",38.3,28.65,"GAUCHE"
"187","01204",34.52,26.23,"LUD"
"188","01205",46.64,28.92,"LUD"
"189","01206",34.26,29.63,"LUD"
"190","01207",31.02,42.07,"LUD"
"191","01208",27.27,24.71,"GAUCHE"
"192","01209",44.37,33.78,"LFN"
"193","01210",38.12,22.33,"LUD"
"194","01211",42.67,27.49,"LUD"
"195","01212",40.93,40,"LFN"
"196","01213",44.03,39.15,"LFN"
"197","01214",36.64,30,"GAUCHE"
"198","01215",33.33,31.03,"GAUCHE"
"199","01216",41.22,32.19,"LUD"
"200","01218",47.56,51.28,"LFN"
"201","01219",39.86,23.75,"LUD"
"202","01221",34.17,22.37,"GAUCHE"
"203","01224",48.53,39.23,"LFN"
"204","01225",36.86,27.09,"LUD"
"205","01227",40.18,38.69,"LFN"
"206","01228",36.85,33.1,"LUD"
"207","01229",34.51,26.92,"LUD"
"208","01230",44.88,41.18,"LFN"
"209","01231",41.1,29.6,"LUD"
"210","01232",37.17,24.8,"LUD"
"211","01233",33.94,27.94,"LUD"
"212","01234",33.33,38.14,"GAUCHE"
"213","01235",41.85,32.6,"LUD"
"214","01236",38.66,31.91,"LUD"
"215","01237",45.32,36.73,"LUD"
"216","01238",40.9,30.42,"LUD"
"217","01239",32.23,29.52,"LUD"
"218","01240",42.89,42.18,"LFN"
"219","01241",30.84,17.34,"GAUCHE"
"220","01242",26.8,16.42,"GAUCHE"
"221","01243",35.09,32.22,"LUD"
"222","01244",43.68,25.24,"LUD"
"223","01245",35.08,26.67,"GAUCHE"
"224","01246",47.57,31.68,"LUD"
"225","01247",42.86,28,"LUD"
"226","01248",35.27,29.21,"LUD"
"227","01249",44.29,25.66,"LUD"
"228","01250",35.21,28.61,"LUD"
"229","01252",42.27,34.19,"LUD"
"230","01254",36.73,23.13,"LUD"
"231","01255",41.32,26.32,"LUD"
"232","01257",45.85,40.65,"LFN"
"233","01258",44.27,43.53,"LFN"
"234","01259",36.43,34.2,"LUD"
"235","01260",32.56,33.57,"LUD"
"236","01261",38.6,30.43,"LUD"
"237","01262",47.81,28.09,"LUD"
"238","01263",40.68,30.54,"LUD"
"239","01264",32.28,30.68,"LUD"
"240","01265",47.83,27.76,"LUD"
"241","01266",38.35,24.72,"LUD"
"242","01267",37.19,35.29,"LUD"
"243","01268",40.58,40.16,"LUD"
"244","01269",49.82,29.87,"LUD"
"245","01271",30.26,26.27,"GAUCHE"
"246","01272",37.61,32.89,"LUD"
"247","01273",39.97,34.53,"LFN"
"248","01274",42.94,40.54,"LFN"
"249","01275",39.63,25.84,"LUD"
"250","01276",41.18,34.76,"LUD"
"251","01277",45.16,48.53,"LFN"
"252","01279",34.52,39.62,"LFN"
"253","01280",39.84,18.84,"LUD"
"254","01281",50.32,14.93,"LUD"
"255","01282",40.57,23,"LUD"
"256","01283",54.39,28.45,"LUD"
"257","01284",38.75,30.68,"LUD"
"258","01285",35.49,23.54,"LUD"
"259","01286",41.77,19.08,"GAUCHE"
"260","01288",48.69,20.22,"LUD"
"261","01289",40.1,20.44,"LUD"
"262","01290",36.33,29.57,"LUD"
"263","01291",38,28.61,"LUD"
"264","01292",36.51,13.16,"LUD"
"265","01293",23.31,36.46,"GAUCHE"
"266","01294",41.09,24.7,"LUD"
"267","01295",34.51,40.25,"LFN"
"268","01296",34.56,36.78,"LUD"
"269","01297",41.6,31.86,"LUD"
"270","01298",45.87,33.33,"GAUCHE"
"271","01299",38.14,33.47,"LUD"
"272","01300",36.7,27.72,"LUD"
"273","01301",37.13,26.36,"LUD"
"274","01302",37.93,31.4,"GAUCHE"
"275","01303",42.15,35.01,"LUD"
"276","01304",43.28,33.44,"LUD"
"277","01305",49.29,23.55,"LUD"
"278","01306",43.98,28.25,"GAUCHE"
"279","01307",40.73,32.09,"LUD"
"280","01308",50.94,20.69,"GAUCHE"
"281","01309",37.14,50,"LFN"
"282","01310",34.58,43.28,"LFN"
"283","01311",34.04,41.94,"LFN"
"284","01312",28.57,29.75,"GAUCHE"
"285","01313",49.54,13.3,"LUD"
"286","01314",37.61,36.28,"LFN"
"287","01316",36.59,25.68,"LUD"
"288","01317",39.07,38.1,"LFN"
"289","01318",38.54,35.54,"LUD"
"290","01319",36.34,36.82,"LUD"
"291","01320",39.14,28.92,"LUD"
"292","01321",31.88,19.64,"GAUCHE"
"293","01322",40.8,23.15,"LUD"
"294","01323",43.1,35.22,"LUD"
"295","01325",31.72,36.83,"LFN"
"296","01328",37.56,37.02,"LUD"
"297","01329",34.62,27.27,"GAUCHE"
"298","01330",43.29,25.29,"GAUCHE"
"299","01331",38.71,21.51,"GAUCHE"
"300","01332",37.33,26.73,"LUD"
"301","01333",39.3,33.19,"LUD"
"302","01334",37.28,38.06,"LUD"
"303","01335",33.48,37.5,"LFN"
"304","01336",37.47,31.77,"GAUCHE"
"305","01337",42.21,29.78,"LUD"
"306","01338",34.44,31.84,"LUD"
"307","01339",40,24.64,"LUD"
"308","01340",39.17,16.42,"GAUCHE"
"309","01341",27.56,23.33,"GAUCHE"
"310","01342",29.47,28.83,"LUD"
"311","01343",45.52,30.53,"LUD"
"312","01344",37.17,19.49,"GAUCHE"
"313","01345",44.61,35.82,"LFN"
"314","01346",36.36,27.53,"LUD"
"315","01347",35.38,28.08,"LUD"
"316","01348",45.84,35,"LUD"
"317","01349",39.51,34.02,"LUD"
"318","01350",34.62,24.15,"LUD"
"319","01351",43.54,41.19,"LFN"
"320","01352",38.95,30.91,"LUD"
"321","01353",33.4,26.09,"LUD"
"322","01354",50.76,17.28,"LUD"
"323","01355",42.98,40.21,"LFN"
"324","01356",37.14,38.55,"LFN"
"325","01357",44.69,23.45,"LUD"
"326","01358",31.86,22.17,"LUD"
"327","01359",45.26,36.36,"LUD"
"328","01360",46.73,22.15,"LUD"
"329","01361",38.78,34.82,"LUD"
"330","01362",37.36,33.44,"LUD"
"331","01363",38.84,30.7,"GAUCHE"
