"","INSEE","ABST2","PCFNT2","winnerT2"
"3835","11179",33.33,36.17,"GAUCHE"
"3836","11180",17.5,24.19,"GAUCHE"
"3837","11181",29.51,46.63,"LFN"
"3838","11182",35,49.4,"LFN"
"3839","11183",33.77,22.92,"GAUCHE"
"3840","11184",34.57,47.06,"GAUCHE"
"3841","11185",33.95,26.22,"GAUCHE"
"3842","11186",31.82,0,"GAUCHE"
"3843","11187",45.16,38.24,"GAUCHE"
"3844","11188",35.08,46.34,"LFN"
"3845","11189",22.77,39.44,"GAUCHE"
"3846","11190",36.2,30.46,"GAUCHE"
"3847","11191",33.73,39.22,"LFN"
"3848","11192",36.83,38.56,"GAUCHE"
"3849","11193",30.46,47.01,"LFN"
"3850","11194",32.65,27.59,"GAUCHE"
"3851","11195",30.3,37.37,"GAUCHE"
"3852","11196",22.38,26.92,"GAUCHE"
"3853","11197",35.01,41.61,"LFN"
"3854","11198",36,33.96,"GAUCHE"
"3855","11199",37.34,47.49,"LFN"
"3856","11200",33.58,32.53,"GAUCHE"
"3857","11201",28.85,36.36,"GAUCHE"
"3858","11202",32.92,39.63,"LFN"
"3859","11203",37.82,42.55,"GAUCHE"
"3860","11204",37.21,26.92,"GAUCHE"
"3861","11205",23.08,55.81,"LFN"
"3862","11206",36.35,38.35,"GAUCHE"
"3863","11207",30.48,40.65,"GAUCHE"
"3864","11208",21.52,27.12,"GAUCHE"
"3865","11209",35.68,24.56,"GAUCHE"
"3866","11210",35.32,54.23,"LFN"
"3867","11211",34.69,41.13,"GAUCHE"
"3868","11212",34.77,47.96,"LFN"
"3869","11213",25,18.18,"GAUCHE"
"3870","11214",37.62,50,"LFN"
"3871","11215",29.09,39.43,"GAUCHE"
"3872","11216",38.16,33.93,"GAUCHE"
"3873","11217",31.08,39.31,"GAUCHE"
"3874","11218",20.34,12.77,"GAUCHE"
"3875","11219",29.17,32.35,"GAUCHE"
"3876","11220",34.29,41.91,"GAUCHE"
"3877","11221",29.06,41.48,"GAUCHE"
"3878","11222",23.38,27.93,"GAUCHE"
"3879","11223",31.82,26.67,"LUD"
"3880","11224",37.84,40,"GAUCHE"
"3881","11225",30.38,34.56,"GAUCHE"
"3882","11226",23.81,34.78,"GAUCHE"
"3883","11227",33.33,5.26,"GAUCHE"
"3884","11228",30.47,32.14,"GAUCHE"
"3885","11229",46.88,3.03,"GAUCHE"
"3886","11230",60,70.83,"LFN"
"3887","11231",38.81,12.82,"GAUCHE"
"3888","11232",32.79,25,"GAUCHE"
"3889","11233",28.79,35.99,"GAUCHE"
"3890","11234",28.97,21.43,"GAUCHE"
"3891","11235",24.29,17.31,"GAUCHE"
"3892","11236",36.02,30.97,"GAUCHE"
"3893","11238",15.46,31.17,"GAUCHE"
"3894","11239",29.58,33.33,"GAUCHE"
"3895","11240",44.29,29.77,"GAUCHE"
"3896","11241",36.79,50.39,"LFN"
"3897","11242",46.27,41.79,"GAUCHE"
"3898","11243",29.57,38.8,"GAUCHE"
"3899","11244",32.99,40.63,"LFN"
"3900","11245",42.11,19.05,"GAUCHE"
"3901","11246",36.59,54.17,"LFN"
"3902","11247",20.69,38.1,"LUD"
"3903","11248",37.5,58.97,"LFN"
"3904","11249",26.03,32.65,"GAUCHE"
"3905","11250",39.47,0,"GAUCHE"
"3906","11251",41.19,26.34,"GAUCHE"
"3907","11252",36.84,22.76,"GAUCHE"
"3908","11253",33.24,28.74,"GAUCHE"
"3909","11254",38.52,40.51,"LFN"
"3910","11255",32.19,43.8,"GAUCHE"
"3911","11256",29.29,34.6,"GAUCHE"
"3912","11257",26.28,42.11,"GAUCHE"
"3913","11258",36.2,44.63,"LFN"
"3914","11259",30.84,41.06,"GAUCHE"
"3915","11260",34.12,41.18,"GAUCHE"
"3916","11261",40.67,38.23,"GAUCHE"
"3917","11262",44.18,39.64,"GAUCHE"
"3918","11263",32.82,43.44,"LFN"
"3919","11264",32.75,40.65,"GAUCHE"
"3920","11265",44.87,20,"GAUCHE"
"3921","11266",36.88,54.22,"LFN"
"3922","11267",36.24,36.02,"GAUCHE"
"3923","11268",21.69,53.33,"LFN"
"3924","11269",35.94,40.59,"GAUCHE"
"3925","11270",41.18,26.67,"GAUCHE"
"3926","11271",32.26,23.81,"GAUCHE"
"3927","11272",28.25,40.74,"GAUCHE"
"3928","11273",34.87,48.44,"LFN"
"3929","11274",35.07,44.51,"LFN"
"3930","11275",33.75,34,"GAUCHE"
"3931","11276",37.94,28.72,"GAUCHE"
"3932","11277",33.33,0,"GAUCHE"
"3933","11278",32.69,22.58,"GAUCHE"
"3934","11279",32.75,41.74,"LFN"
"3935","11280",30.03,38.81,"GAUCHE"
"3936","11281",39.18,47.31,"LFN"
"3937","11282",53.66,43.75,"GAUCHE"
"3938","11283",0,26.47,"GAUCHE"
"3939","11284",31.63,35.51,"GAUCHE"
"3940","11285",29.29,32.12,"GAUCHE"
"3941","11286",40.81,35.52,"GAUCHE"
"3942","11287",46.27,26.47,"GAUCHE"
"3943","11288",35.97,49.93,"LFN"
"3944","11289",32.3,44.69,"LFN"
"3945","11290",31.4,20,"GAUCHE"
"3946","11291",44.12,9.43,"GAUCHE"
"3947","11292",34.11,32.93,"GAUCHE"
"3948","11293",30.83,47.62,"LFN"
"3949","11294",32.65,50,"GAUCHE"
"3950","11295",40,48.42,"LFN"
"3951","11296",29.52,37.94,"GAUCHE"
"3952","11297",27.81,38.71,"GAUCHE"
"3953","11298",27.59,39.18,"GAUCHE"
"3954","11299",28.54,46.64,"LFN"
"3955","11300",22.5,39.53,"LFN"
"3956","11301",34.06,41.49,"GAUCHE"
"3957","11302",29.41,38.3,"GAUCHE"
"3958","11303",37.14,30.18,"GAUCHE"
"3959","11304",37.56,36.91,"GAUCHE"
"3960","11305",42.19,23.53,"GAUCHE"
"3961","11306",12.82,0,"GAUCHE"
"3962","11307",41.28,43.75,"GAUCHE"
"3963","11308",27.4,34.57,"GAUCHE"
"3964","11309",37.97,27.91,"GAUCHE"
"3965","11310",42.86,24.64,"GAUCHE"
"3966","11311",38.99,34.38,"GAUCHE"
"3967","11312",21.25,21.05,"GAUCHE"
"3968","11313",25.76,40.85,"LFN"
"3969","11314",20.51,37.29,"GAUCHE"
"3970","11315",39.85,44.38,"LFN"
"3971","11316",46.34,38.16,"GAUCHE"
"3972","11317",42.02,14.55,"GAUCHE"
"3973","11318",35.64,50,"LFN"
"3974","11319",25.71,16.33,"GAUCHE"
"3975","11320",31.54,41.21,"GAUCHE"
"3976","11321",51.88,40.32,"GAUCHE"
"3977","11322",28.78,43.04,"LFN"
"3978","11323",31.65,16.33,"GAUCHE"
"3979","11324",37.47,41.7,"GAUCHE"
"3980","11325",34.29,37.31,"GAUCHE"
"3981","11326",33.33,22.22,"GAUCHE"
"3982","11327",29.1,40.5,"GAUCHE"
"3983","11328",23.56,24.65,"GAUCHE"
"3984","11329",38.25,28.16,"GAUCHE"
"3985","11330",31,39.8,"GAUCHE"
"3986","11331",34.72,50,"LFN"
"3987","11332",33.11,43.28,"GAUCHE"
"3988","11333",41.1,48.65,"LFN"
"3989","11334",19.8,33.75,"GAUCHE"
"3990","11335",21.43,28.57,"GAUCHE"
"3991","11336",34.33,40,"GAUCHE"
"3992","11337",31.43,48.09,"LFN"
"3993","11338",37.14,20,"GAUCHE"
"3994","11339",35.29,32.43,"GAUCHE"
"3995","11340",28.14,48.99,"LFN"
"3996","11341",33.65,40.63,"GAUCHE"
"3997","11342",35.91,52.29,"LFN"
"3998","11343",35.62,19.05,"GAUCHE"
"3999","11344",33.51,30.08,"GAUCHE"
"4000","11345",31.93,39.19,"GAUCHE"
"4001","11346",42.68,33.33,"GAUCHE"
"4002","11347",41.82,31.58,"GAUCHE"
"4003","11348",29.31,28.95,"GAUCHE"
"4004","11350",31.25,17.24,"GAUCHE"
"4005","11351",41.49,36.94,"GAUCHE"
"4006","11352",41.38,20,"GAUCHE"
"4007","11353",37.17,46.37,"LFN"
"4008","11354",8,0,"GAUCHE"
"4009","11355",28.68,16.3,"LUD"
"4010","11356",29.2,39.41,"GAUCHE"
"4011","11357",24.04,25.58,"GAUCHE"
"4012","11358",48.48,0,"GAUCHE"
"4013","11359",30.38,24.9,"GAUCHE"
"4014","11360",32.2,42.4,"GAUCHE"
"4015","11361",28.99,34.86,"GAUCHE"
"4016","11362",29.76,34.82,"GAUCHE"
"4017","11363",33.53,19.82,"GAUCHE"
"4018","11364",32.87,30.77,"GAUCHE"
"4019","11365",10.81,41.38,"GAUCHE"
"4020","11366",35.16,34.94,"GAUCHE"
"4021","11367",36.06,38.93,"GAUCHE"
"4022","11368",20,48.65,"LFN"
"4023","11369",31.53,45.56,"LFN"
"4024","11370",34.33,46.59,"LFN"
"4025","11371",30.75,26.93,"GAUCHE"
"4026","11372",29.22,46.12,"LFN"
"4027","11373",52.17,3.7,"GAUCHE"
"4028","11374",38.24,0,"GAUCHE"
"4029","11375",14.81,21.74,"GAUCHE"
"4030","11376",34.48,42.42,"GAUCHE"
"4031","11377",22.5,20,"GAUCHE"
"4032","11378",31.43,27.61,"GAUCHE"
"4033","11379",37.46,47.73,"LFN"
"4034","11380",31.2,36.25,"GAUCHE"
"4035","11381",46.88,18.52,"GAUCHE"
"4036","11382",31.48,41.01,"LFN"
"4037","11383",28.68,51.38,"LFN"
"4038","11384",28.43,30,"GAUCHE"
"4039","11385",23.2,41.22,"GAUCHE"
"4040","11386",23.05,28.99,"GAUCHE"
"4041","11387",32.31,31.71,"GAUCHE"
"4042","11388",35.94,5.71,"GAUCHE"
"4043","11389",29.63,22.22,"GAUCHE"
"4044","11390",31.23,44.36,"GAUCHE"
"4045","11391",33.33,5,"GAUCHE"
"4046","11392",34.58,44.03,"GAUCHE"
"4047","11393",36.83,53.03,"LFN"
"4048","11394",30.28,37.84,"GAUCHE"
"4049","11395",18.75,4,"GAUCHE"
"4050","11396",36.12,50,"LFN"
"4051","11397",36.68,47.74,"LFN"
"4052","11398",30.48,32.17,"GAUCHE"
"4053","11399",37.25,38.6,"GAUCHE"
"4054","11400",44.3,17.07,"GAUCHE"
"4055","11401",31.85,24.25,"GAUCHE"
"4056","11402",25,22.22,"GAUCHE"
"4057","11404",35.53,32.7,"GAUCHE"
"4058","11405",26.4,32.28,"GAUCHE"
"4059","11406",62.16,41.67,"LUD"
"4060","11407",30.21,33.76,"GAUCHE"
"4061","11408",31.38,35.65,"GAUCHE"
"4062","11409",21.88,27.14,"GAUCHE"
"4063","11410",35.35,47.29,"LFN"
"4064","11411",29.73,48.05,"LFN"
"4065","11412",32.76,21.21,"GAUCHE"
"4066","11413",33.98,39.27,"GAUCHE"
"4067","11414",28.57,27.78,"GAUCHE"
"4068","11415",28.92,45.61,"LFN"
"4069","11416",28.02,39.52,"GAUCHE"
"4070","11417",36.47,28.3,"GAUCHE"
"4071","11418",29.13,42.86,"GAUCHE"
"4072","11419",44.19,44.44,"GAUCHE"
"4073","11420",27.68,20.51,"GAUCHE"
"4074","11421",32.11,45.75,"LFN"
"4075","11422",28.04,41.71,"LFN"
"4076","11423",19.26,33.01,"GAUCHE"
"4077","11424",36.84,61.4,"LFN"
"4078","11425",28.47,36.03,"GAUCHE"
"4079","11426",30.77,50.66,"LFN"
"4080","11427",30.8,27.22,"GAUCHE"
"4081","11428",35.96,41.03,"GAUCHE"
"4082","11429",31.96,41.05,"GAUCHE"
"4083","11430",31.62,37.61,"GAUCHE"
"4084","11431",40.28,35.59,"GAUCHE"
"4085","11432",28.65,47.86,"LFN"
"4086","11433",27.58,37.7,"GAUCHE"
"4087","11434",37.42,41.53,"GAUCHE"
"4088","11435",27.81,12.17,"GAUCHE"
"4089","11436",40.75,38.8,"GAUCHE"
"4090","11437",24.88,46.98,"LFN"
"4091","11438",24.02,47.54,"LFN"
"4092","11439",32.67,33.87,"GAUCHE"
"4093","11440",34.88,0,"GAUCHE"
"4094","11441",32.34,43.66,"LFN"
"4095","12001",31.31,24.41,"GAUCHE"
"4096","12002",37.71,26.82,"GAUCHE"
"4097","12003",27.59,30.73,"GAUCHE"
"4098","12004",27.75,14.01,"LUD"
"4099","12005",38.57,18.42,"LUD"
"4100","12006",36.28,23.5,"LUD"
"4101","12007",32.62,18.6,"GAUCHE"
"4102","12008",29.83,16.84,"GAUCHE"
"4103","12009",30.99,65.96,"LFN"
"4104","12010",32.46,22.37,"LUD"
"4105","12011",29.37,19.34,"GAUCHE"
"4106","12012",27.27,28.75,"GAUCHE"
"4107","12013",43.24,23.28,"GAUCHE"
"4108","12014",28.4,27.35,"LUD"
"4109","12015",41.21,22.32,"GAUCHE"
"4110","12016",34.88,17.35,"GAUCHE"
"4111","12017",50.74,17.71,"LUD"
"4112","12018",24.86,23.39,"GAUCHE"
"4113","12019",29.63,21.57,"GAUCHE"
"4114","12020",30.21,18.84,"GAUCHE"
"4115","12021",32.69,19.42,"GAUCHE"
"4116","12022",35.09,35.94,"LFN"
"4117","12023",36.89,27.63,"LUD"
"4118","12024",28.71,8.96,"GAUCHE"
"4119","12025",36.65,28.45,"GAUCHE"
"4120","12026",37.5,25.86,"GAUCHE"
"4121","12027",37.84,20,"GAUCHE"
"4122","12028",34.79,27.8,"GAUCHE"
"4123","12029",39.62,15.56,"LUD"
"4124","12030",39.59,25.89,"GAUCHE"
"4125","12031",24.3,9.5,"GAUCHE"
"4126","12032",33.03,18.6,"GAUCHE"
"4127","12033",34.6,24.98,"LUD"
"4128","12034",27.13,17.22,"GAUCHE"
"4129","12035",29.45,33.64,"GAUCHE"
"4130","12036",41.83,24.12,"LUD"
"4131","12037",30.95,20.18,"GAUCHE"
"4132","12038",33.56,16.3,"GAUCHE"
"4133","12039",43.95,28.22,"GAUCHE"
"4134","12040",28.25,20.33,"LUD"
"4135","12041",28.57,23.31,"GAUCHE"
"4136","12042",30.58,16.3,"GAUCHE"
"4137","12043",29.86,23.28,"GAUCHE"
"4138","12044",32.18,23.25,"GAUCHE"
"4139","12045",26.11,24.78,"GAUCHE"
"4140","12046",34.46,22.59,"GAUCHE"
"4141","12047",32.71,32.07,"GAUCHE"
"4142","12048",37.13,32.84,"LUD"
"4143","12049",31.93,28.7,"LUD"
"4144","12050",29.72,27.78,"LUD"
"4145","12051",43.57,21.84,"LUD"
"4146","12052",36.63,21.45,"GAUCHE"
"4147","12053",30.74,34.39,"GAUCHE"
"4148","12054",28.52,16.18,"GAUCHE"
"4149","12055",36.59,39.22,"LUD"
"4150","12056",31.07,20.81,"GAUCHE"
"4151","12057",34.04,23.43,"GAUCHE"
"4152","12058",39.1,21.79,"LUD"
"4153","12059",34.02,21.59,"GAUCHE"
"4154","12060",31.25,7.04,"GAUCHE"
"4155","12061",27,28.03,"LUD"
"4156","12062",28.01,30.61,"GAUCHE"
"4157","12063",35.84,41.22,"LFN"
"4158","12064",44.86,32.31,"LUD"
"4159","12065",34.23,20.91,"GAUCHE"
"4160","12066",34.99,18.6,"GAUCHE"
"4161","12067",54.17,23.26,"GAUCHE"
"4162","12068",34.22,20.66,"LUD"
"4163","12069",33.2,17.11,"GAUCHE"
"4164","12070",32.99,19.61,"GAUCHE"
"4165","12071",33.63,19.53,"GAUCHE"
"4166","12072",35.14,26.71,"GAUCHE"
"4167","12073",32.23,31.1,"GAUCHE"
"4168","12074",42.81,22.08,"LUD"
"4169","12075",28.42,13.85,"GAUCHE"
"4170","12076",43.88,16.98,"GAUCHE"
"4171","12077",29.75,27.72,"GAUCHE"
"4172","12078",45.45,32.53,"GAUCHE"
"4173","12079",31.24,26.33,"LUD"
"4174","12080",40.68,19.72,"GAUCHE"
"4175","12081",29.77,39.73,"LFN"
"4176","12082",28.91,26.24,"GAUCHE"
"4177","12083",45.04,24.47,"GAUCHE"
"4178","12084",34.65,26.89,"GAUCHE"
"4179","12085",22,18.38,"LUD"
"4180","12086",31.38,31.55,"GAUCHE"
"4181","12087",30.63,29.67,"LUD"
"4182","12088",40.28,32.8,"LUD"
"4183","12089",47.07,21.01,"GAUCHE"
"4184","12090",30.6,20.33,"GAUCHE"
"4185","12091",24.06,21.03,"LUD"
"4186","12092",25.97,28.44,"LUD"
"4187","12093",32.24,31.96,"LUD"
"4188","12094",34.99,24.23,"GAUCHE"
"4189","12095",31.79,18.75,"GAUCHE"
"4190","12096",38.02,26.34,"LUD"
"4191","12097",35.11,22.46,"GAUCHE"
"4192","12098",35.86,21.36,"LUD"
"4193","12099",35.27,30.99,"GAUCHE"
"4194","12100",40.65,20.31,"GAUCHE"
"4195","12101",32.53,18.69,"GAUCHE"
"4196","12102",34.99,24.01,"GAUCHE"
"4197","12103",34.15,23.08,"LUD"
"4198","12104",28.01,24.35,"GAUCHE"
"4199","12105",33.74,23.78,"GAUCHE"
"4200","12106",36.73,25.86,"LUD"
"4201","12107",34.88,30.06,"GAUCHE"
"4202","12108",31.56,21.72,"LUD"
"4203","12109",37,24.19,"LUD"
"4204","12110",31.03,21.8,"LUD"
"4205","12111",29.5,19.42,"GAUCHE"
"4206","12112",35.75,33.65,"LUD"
"4207","12113",32.29,21.68,"LUD"
"4208","12114",35.49,19.09,"GAUCHE"
"4209","12115",36.58,35.67,"GAUCHE"
"4210","12116",23.15,30.38,"LUD"
"4211","12117",28.49,37.29,"LUD"
"4212","12118",43.18,30.21,"LUD"
"4213","12119",35.11,23.89,"LUD"
"4214","12120",31.5,26.58,"LUD"
"4215","12121",27.82,19.78,"GAUCHE"
"4216","12122",22.52,25.3,"GAUCHE"
"4217","12123",31.52,26.65,"GAUCHE"
"4218","12124",32.21,24.35,"LUD"
"4219","12125",38.83,27.87,"GAUCHE"
"4220","12126",33.93,33.57,"GAUCHE"
"4221","12127",31.78,29.91,"GAUCHE"
"4222","12128",35.27,24.82,"GAUCHE"
"4223","12129",30.08,31.75,"LUD"
"4224","12130",37.65,16.82,"GAUCHE"
"4225","12131",31.41,22.64,"GAUCHE"
"4226","12133",32.13,24.23,"GAUCHE"
"4227","12134",30.86,23.12,"GAUCHE"
"4228","12135",34.19,22.02,"GAUCHE"
"4229","12136",33.87,29.26,"GAUCHE"
"4230","12137",34.35,28.57,"GAUCHE"
"4231","12138",30.14,18.07,"GAUCHE"
"4232","12139",32.82,29.07,"LUD"
"4233","12140",29.06,23.84,"GAUCHE"
"4234","12141",36.07,14.73,"GAUCHE"
"4235","12142",34.27,14.24,"GAUCHE"
"4236","12143",46.39,22.45,"GAUCHE"
"4237","12144",39.16,13.89,"GAUCHE"
"4238","12145",41.76,25.46,"GAUCHE"
"4239","12146",38.65,20.22,"GAUCHE"
"4240","12147",44.37,37.5,"LFN"
"4241","12148",33.89,19.02,"GAUCHE"
"4242","12149",30.43,25.26,"GAUCHE"
"4243","12150",33.84,15.03,"GAUCHE"
"4244","12151",32.02,20.67,"LUD"
"4245","12152",33.07,29.63,"LUD"
"4246","12153",36.36,21.34,"GAUCHE"
"4247","12154",33.15,21.94,"GAUCHE"
"4248","12155",35.52,28.89,"GAUCHE"
"4249","12156",41.12,35.36,"LUD"
"4250","12157",32.96,20.4,"GAUCHE"
"4251","12158",29.33,19.86,"GAUCHE"
"4252","12159",35.17,23.62,"GAUCHE"
"4253","12160",38.56,27.53,"GAUCHE"
"4254","12161",35.01,21.43,"GAUCHE"
"4255","12162",35.77,21.42,"GAUCHE"
"4256","12163",37.5,32.73,"LUD"
"4257","12164",38.12,16.78,"LUD"
"4258","12165",33.69,30.73,"GAUCHE"
"4259","12166",29.52,18.57,"LUD"
"4260","12167",33.64,18.32,"GAUCHE"
"4261","12168",34.03,27.13,"GAUCHE"
"4262","12169",32.33,22.53,"GAUCHE"
"4263","12170",28.29,14.08,"GAUCHE"
"4264","12171",33.92,23.94,"GAUCHE"
"4265","12172",32.99,26.3,"LUD"
"4266","12173",26.39,17,"LUD"
"4267","12174",32.92,19.63,"GAUCHE"
"4268","12175",25.2,25.53,"LUD"
"4269","12176",36.89,19.98,"GAUCHE"
"4270","12177",37.89,29.41,"LUD"
"4271","12178",30.24,27.03,"GAUCHE"
"4272","12179",40.86,25.49,"LUD"
"4273","12180",47.15,29.69,"GAUCHE"
"4274","12181",34.84,18.52,"GAUCHE"
"4275","12182",27.83,23.53,"LUD"
"4276","12183",38.77,27.78,"GAUCHE"
"4277","12184",30.14,21.65,"LUD"
"4278","12185",35.68,24.66,"LUD"
"4279","12186",37.13,22.13,"GAUCHE"
"4280","12187",35.46,22.35,"LUD"
"4281","12188",35.52,24.44,"LUD"
"4282","12189",38.61,28.57,"LUD"
"4283","12190",42.8,25.69,"GAUCHE"
"4284","12191",35.64,24.71,"GAUCHE"
"4285","12192",51.87,7.69,"LUD"
"4286","12193",34.57,26.17,"LUD"
"4287","12194",33.85,20.36,"GAUCHE"
"4288","12195",30.86,29.01,"LUD"
"4289","12196",32.98,24.78,"GAUCHE"
"4290","12197",36.95,24.12,"GAUCHE"
"4291","12198",35.88,19.46,"GAUCHE"
"4292","12199",28.85,19.09,"GAUCHE"
"4293","12200",34.03,25.78,"GAUCHE"
"4294","12201",40.83,19.42,"GAUCHE"
"4295","12202",40.76,18.51,"GAUCHE"
"4296","12203",45.72,32.04,"GAUCHE"
"4297","12204",31.25,28.8,"GAUCHE"
"4298","12205",35.53,18.46,"GAUCHE"
"4299","12206",28.14,25.82,"GAUCHE"
"4300","12207",29.21,22.01,"LUD"
"4301","12208",34.6,23.27,"GAUCHE"
"4302","12209",39.5,27.45,"LUD"
"4303","12210",34,16.59,"GAUCHE"
"4304","12211",28.74,19.3,"LUD"
"4305","12212",30,17.39,"GAUCHE"
"4306","12213",36.76,26.99,"GAUCHE"
"4307","12214",39.67,31.15,"LUD"
"4308","12215",33.93,19.14,"GAUCHE"
"4309","12216",32.46,24.31,"LUD"
"4310","12217",33.98,28.24,"GAUCHE"
"4311","12218",28.38,21.44,"GAUCHE"
"4312","12219",29.01,39.11,"LFN"
"4313","12220",32.26,27.78,"GAUCHE"
"4314","12221",33.81,16.67,"LUD"
"4315","12222",29.21,21.71,"GAUCHE"
"4316","12223",35.8,29.41,"LUD"
"4317","12224",37.29,24.17,"LUD"
"4318","12225",38.9,28.47,"GAUCHE"
"4319","12226",37.09,26.84,"LUD"
"4320","12227",28.03,26.17,"LUD"
"4321","12228",38.67,23.03,"GAUCHE"
"4322","12229",26.7,26.77,"GAUCHE"
"4323","12230",32.29,31.06,"GAUCHE"
"4324","12231",31.01,43.24,"LFN"
"4325","12232",31.5,24.86,"GAUCHE"
"4326","12233",33.47,23.38,"GAUCHE"
"4327","12234",27.8,30.47,"GAUCHE"
"4328","12235",39.09,16.95,"GAUCHE"
"4329","12236",21.12,28.93,"LUD"
"4330","12237",34.39,19.48,"GAUCHE"
"4331","12238",29.35,23.86,"LUD"
"4332","12239",31.7,27.14,"LUD"
"4333","12240",41.29,15,"GAUCHE"
"4334","12241",32.01,19.87,"GAUCHE"
"4335","12242",33.33,25.29,"GAUCHE"
"4336","12243",32.32,27,"GAUCHE"
"4337","12244",35.82,31.01,"GAUCHE"
"4338","12245",29.57,20.24,"GAUCHE"
"4339","12246",38.31,22.44,"GAUCHE"
"4340","12247",33.1,22.53,"LUD"
"4341","12248",32.38,24.29,"GAUCHE"
"4342","12249",34.43,11.03,"GAUCHE"
"4343","12250",36.15,26.4,"LUD"
"4344","12251",31.33,28.5,"GAUCHE"
"4345","12252",33.07,20.42,"GAUCHE"
"4346","12253",29.96,27.96,"LUD"
"4347","12254",35.56,20.09,"GAUCHE"
"4348","12255",35.57,26.27,"GAUCHE"
"4349","12256",34.2,32.7,"GAUCHE"
"4350","12257",28.02,17.17,"GAUCHE"
"4351","12258",35.51,21.94,"GAUCHE"
"4352","12259",35.5,24.1,"GAUCHE"
"4353","12260",46.89,16.85,"GAUCHE"
"4354","12261",34.97,15.38,"LUD"
"4355","12262",37.93,17.95,"GAUCHE"
"4356","12263",32.91,16.24,"GAUCHE"
"4357","12264",33.45,20.94,"GAUCHE"
"4358","12265",35.36,30.32,"LUD"
"4359","12266",35.23,24.3,"LUD"
"4360","12267",34.74,29.41,"LUD"
"4361","12268",31.84,21.29,"LUD"
"4362","12269",29.55,36.26,"LUD"
"4363","12270",35.29,23.68,"GAUCHE"
"4364","12271",34.37,32.14,"LUD"
"4365","12272",34.01,19.11,"GAUCHE"
"4366","12273",26.25,35.76,"LUD"
"4367","12274",32.54,13.92,"LUD"
"4368","12275",45.61,30,"GAUCHE"
"4369","12276",36.39,20.81,"GAUCHE"
"4370","12277",34.41,29.85,"LUD"
"4371","12278",53.11,18.92,"GAUCHE"
"4372","12279",22.88,21.93,"LUD"
"4373","12280",35.86,24.02,"LUD"
"4374","12281",39,25.07,"GAUCHE"
"4375","12282",36.64,30.85,"GAUCHE"
"4376","12283",33.63,30.95,"GAUCHE"
"4377","12284",38.29,19.34,"LUD"
"4378","12285",28.09,35.02,"GAUCHE"
"4379","12286",35.08,23.88,"GAUCHE"
"4380","12287",31.2,37.27,"GAUCHE"
"4381","12288",35.31,18.16,"GAUCHE"
"4382","12289",23.86,24.83,"GAUCHE"
"4383","12290",30.1,28.8,"GAUCHE"
"4384","12291",32.49,28.37,"GAUCHE"
"4385","12292",38.56,25.86,"GAUCHE"
"4386","12293",42.86,25.3,"GAUCHE"
"4387","12294",29.83,21.41,"LUD"
"4388","12295",30.95,26.79,"GAUCHE"
"4389","12296",39.18,30.86,"GAUCHE"
"4390","12297",35.21,26.88,"LUD"
"4391","12298",38.7,20.88,"GAUCHE"
"4392","12299",32.85,28.86,"LUD"
"4393","12300",43.04,21.34,"GAUCHE"
"4394","12301",35.97,21.49,"GAUCHE"
"4395","12303",31.25,30,"GAUCHE"
"4396","12304",24.24,20.83,"LUD"
"4397","12305",39.7,19.24,"GAUCHE"
"4398","12307",35.88,24.06,"LUD"
"4399","13001",41.53,30.45,"LUD"
"4400","13002",34.64,53.12,"LFN"
"4401","13003",34.2,47.97,"LUD"
"4402","13004",39.33,45.83,"LUD"
"4403","13005",43.69,45.47,"LUD"
"4404","13006",34.78,55.82,"LFN"
"4405","13007",37.85,52.6,"LFN"
"4406","13008",29.11,37.02,"LUD"
"4407","13009",30.98,51.45,"LFN"
"4408","13010",36.31,54.03,"LFN"
"4409","13011",36.98,37.95,"LUD"
"4410","13012",28.98,29.39,"LUD"
"4411","13013",33.21,42.05,"LUD"
"4412","13014",40.33,48.43,"LUD"
"4413","13015",36.23,39.49,"LUD"
"4414","13016",35.17,50.63,"LFN"
"4415","13017",32.27,61.81,"LFN"
"4416","13018",38.84,55.11,"LFN"
"4417","13019",37.23,40.45,"LUD"
"4418","13020",37.52,47.43,"LUD"
"4419","13021",35.51,48.15,"LUD"
"4420","13022",40.31,36.67,"LUD"
"4421","13023",35.75,46.1,"LUD"
"4422","13024",36.93,44.47,"LUD"
"4423","13025",34.96,32.75,"LUD"
"4424","13026",36.75,57.78,"LFN"
"4425","13027",33.7,50.46,"LFN"
"4426","13028",40.36,45.06,"LUD"
"4427","13029",33.57,52.07,"LFN"
"4428","13030",38.27,53.21,"LFN"
"4429","13031",35.51,52.06,"LFN"
"4430","13032",38.09,33.56,"LUD"
"4431","13033",36.62,52.4,"LFN"
"4432","13034",31.75,45.82,"LUD"
"4433","13035",40.12,53.45,"LFN"
"4434","13036",38.06,56.95,"LFN"
"4435","13037",40.11,49.51,"LUD"
"4436","13038",30.42,48.73,"LUD"
"4437","13039",42.9,56.82,"LFN"
"4438","13040",37.06,40.05,"LUD"
"4439","13041",46.69,48.48,"LUD"
"4440","13042",34.62,38.88,"LUD"
"4441","13043",43.29,59.23,"LFN"
"4442","13044",34.32,49.26,"LUD"
"4443","13045",40.19,58.51,"LFN"
"4444","13046",36.83,48.23,"LUD"
"4445","13047",35.79,51.08,"LFN"
"4446","13048",38.8,48.52,"LUD"
"4447","13049",32.68,52.38,"LFN"
"4448","13050",38.03,41.97,"LUD"
