"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"5270",15.12,27.91,26.74,"15043",27.91,"sarkozy"
"5271",12.15,26.17,35.51,"15044",35.51,"hollande"
"5272",18.8,40.34,20.85,"15045",40.34,"sarkozy"
"5273",19.23,19.78,39.56,"15046",39.56,"hollande"
"5274",20.83,35.42,21.88,"15047",35.42,"sarkozy"
"5275",18.75,43.75,9.38,"15048",43.75,"sarkozy"
"5276",9.43,50.94,16.04,"15049",50.94,"sarkozy"
"5277",10.92,49.43,20.69,"15050",49.43,"sarkozy"
"5278",20.36,34.73,17.96,"15051",34.73,"sarkozy"
"5279",16.67,24.31,31.94,"15052",31.94,"hollande"
"5280",20.39,16.78,40.79,"15053",40.79,"hollande"
"5281",13.64,28.37,29.92,"15054",29.92,"hollande"
"5282",14.43,31.8,30.16,"15055",31.8,"sarkozy"
"5283",10.99,26.43,38.69,"15056",38.69,"hollande"
"5284",11.7,29.82,34.5,"15057",34.5,"hollande"
"5285",19.83,30.58,30.58,"15058",30.58,"hollande"
"5286",18.92,32.43,24.32,"15059",32.43,"sarkozy"
"5287",17.95,51.28,12.82,"15060",51.28,"sarkozy"
"5288",11.35,41.92,16.16,"15061",41.92,"sarkozy"
"5289",17.63,27.7,32.01,"15063",32.01,"hollande"
"5290",17.65,39.22,17.65,"15064",39.22,"sarkozy"
"5291",6.56,45.9,26.23,"15065",45.9,"sarkozy"
"5292",13.79,22.41,44.83,"15066",44.83,"hollande"
"5293",5,42.5,22.5,"15067",42.5,"sarkozy"
"5294",19.6,32.8,22.4,"15068",32.8,"sarkozy"
"5295",20.44,31.11,19.11,"15069",31.11,"sarkozy"
"5296",13.23,30.69,29.1,"15070",30.69,"sarkozy"
"5297",5.26,28.07,26.32,"15071",28.07,"sarkozy"
"5298",25,21.62,30.41,"15072",30.41,"hollande"
"5299",14.29,54.55,9.09,"15073",54.55,"sarkozy"
"5300",16.41,32.42,27.15,"15074",32.42,"sarkozy"
"5301",22.22,27.78,20.37,"15075",27.78,"sarkozy"
"5302",20,21.94,31.61,"15076",31.61,"hollande"
"5303",21.74,43.48,8.7,"15077",43.48,"sarkozy"
"5304",14.66,41.38,10.34,"15078",41.38,"sarkozy"
"5305",20.92,17.97,36.27,"15079",36.27,"hollande"
"5306",21.14,30.89,21.95,"15080",30.89,"sarkozy"
"5307",14.14,31.31,23.23,"15081",31.31,"sarkozy"
"5308",11.02,39.83,19.07,"15082",39.83,"sarkozy"
"5309",16.45,29.6,33.13,"15083",33.13,"hollande"
"5310",18.82,44.62,14.52,"15084",44.62,"sarkozy"
"5311",21.64,28.85,32.46,"15085",32.46,"hollande"
"5312",8,62,6,"15086",62,"sarkozy"
"5313",16.97,22.94,27.98,"15087",27.98,"hollande"
"5314",18.52,25.64,30.77,"15088",30.77,"hollande"
"5315",17.3,33.96,24.53,"15089",33.96,"sarkozy"
"5316",16.49,32.97,25.68,"15090",32.97,"sarkozy"
"5317",10.26,35.9,33.33,"15091",35.9,"sarkozy"
"5318",15.08,25.1,34.63,"15092",34.63,"hollande"
"5319",23.75,46.25,13.75,"15093",46.25,"sarkozy"
"5320",9.16,28.44,36.64,"15094",36.64,"hollande"
"5321",21.1,29.54,25.74,"15095",29.54,"sarkozy"
"5322",16.59,30.81,25.12,"15096",30.81,"sarkozy"
"5323",26.32,31.58,15.79,"15097",31.58,"sarkozy"
"5324",20.24,40.48,13.1,"15098",40.48,"sarkozy"
"5325",16.13,33.33,23.12,"15099",33.33,"sarkozy"
"5326",15.48,38.1,16.67,"15100",38.1,"sarkozy"
"5327",22.47,29.04,27.53,"15101",29.04,"sarkozy"
"5328",16.48,42.86,13.19,"15102",42.86,"sarkozy"
"5329",20.11,32.76,22.41,"15103",32.76,"sarkozy"
"5330",20.76,22.88,28.39,"15104",28.39,"hollande"
"5331",21.21,42.42,15.15,"15105",42.42,"sarkozy"
"5332",16.91,59.56,9.56,"15106",59.56,"sarkozy"
"5333",21.77,31.29,27.21,"15107",31.29,"sarkozy"
"5334",14.53,30.52,29.94,"15108",30.52,"sarkozy"
"5335",14.17,33.07,33.07,"15110",33.07,"hollande"
"5336",13.5,25.15,35.58,"15111",35.58,"hollande"
"5337",22.99,42.53,9.2,"15112",42.53,"sarkozy"
"5338",18.85,32.46,16.23,"15113",32.46,"sarkozy"
"5339",16.62,32.68,22.82,"15114",32.68,"sarkozy"
"5340",13.7,35.62,26.03,"15116",35.62,"sarkozy"
"5341",13.18,35.91,19.55,"15117",35.91,"sarkozy"
"5342",14.48,32.82,24.71,"15118",32.82,"sarkozy"
"5343",17.08,29.5,27.22,"15119",29.5,"sarkozy"
"5344",16.2,27.05,31.77,"15120",31.77,"hollande"
"5345",23.08,33.85,16.92,"15121",33.85,"sarkozy"
"5346",9.95,28.58,34.93,"15122",34.93,"hollande"
"5347",16.18,35.29,25.74,"15123",35.29,"sarkozy"
"5348",14.06,23.18,33.33,"15124",33.33,"hollande"
"5349",13.19,31.87,17.58,"15125",31.87,"sarkozy"
"5350",23.46,45.68,13.58,"15126",45.68,"sarkozy"
"5351",14.47,31.14,27.19,"15127",31.14,"sarkozy"
"5352",17.86,25.89,28.57,"15128",28.57,"hollande"
"5353",24.39,25,32.93,"15129",32.93,"hollande"
"5354",22.33,29.13,15.53,"15130",29.13,"sarkozy"
"5355",14,35,26,"15131",35,"sarkozy"
"5356",28.89,42.22,6.67,"15132",42.22,"sarkozy"
"5357",20.51,25.64,23.08,"15133",25.64,"sarkozy"
"5358",12.08,35.7,28.95,"15134",35.7,"sarkozy"
"5359",16.3,40.22,19.57,"15135",40.22,"sarkozy"
"5360",13.24,34.7,23.74,"15136",34.7,"sarkozy"
"5361",14.35,24.54,26.39,"15137",26.39,"hollande"
"5362",15.61,32.15,30.8,"15138",32.15,"sarkozy"
"5363",20.83,47.22,19.44,"15139",47.22,"sarkozy"
"5364",12.11,24.36,39.4,"15140",39.4,"hollande"
"5365",16.14,31.69,30.19,"15141",31.69,"sarkozy"
"5366",16.26,34.98,23.03,"15142",34.98,"sarkozy"
"5367",16.33,40.82,18.37,"15143",40.82,"sarkozy"
"5368",12.95,33.04,35.27,"15144",35.27,"hollande"
"5369",20,36.11,21.11,"15145",36.11,"sarkozy"
"5370",13.11,66.39,6.56,"15146",66.39,"sarkozy"
"5371",8.51,26.38,35.32,"15147",35.32,"hollande"
"5372",15.34,40.49,17.79,"15148",40.49,"sarkozy"
"5373",16.2,50,14.08,"15149",50,"sarkozy"
"5374",14.95,26.29,30.41,"15150",30.41,"hollande"
"5375",15.56,43.7,17.04,"15151",43.7,"sarkozy"
"5376",12.15,44.2,21.18,"15152",44.2,"sarkozy"
"5377",15.14,27.09,34.53,"15153",34.53,"hollande"
"5378",18.9,29.41,29.79,"15154",29.79,"hollande"
"5379",23.61,22.22,34.72,"15155",34.72,"hollande"
"5380",20.05,28.73,27.91,"15156",28.73,"sarkozy"
"5381",12.15,25.7,35.51,"15157",35.51,"hollande"
"5382",14.29,28.57,23.81,"15158",28.57,"sarkozy"
"5383",14.41,36.86,21.61,"15159",36.86,"sarkozy"
"5384",15.54,22.16,37.57,"15160",37.57,"hollande"
"5385",13.25,45.78,16.87,"15161",45.78,"sarkozy"
"5386",14.5,27.54,31.93,"15162",31.93,"hollande"
"5387",14.18,29.39,30.43,"15163",30.43,"hollande"
"5388",20.1,35.17,21.77,"15164",35.17,"sarkozy"
"5389",26.71,20.55,34.25,"15165",34.25,"hollande"
"5390",20.45,27.84,25.57,"15166",27.84,"sarkozy"
"5391",13.64,26.14,23.86,"15167",26.14,"sarkozy"
"5392",16.28,32.11,28.21,"15168",32.11,"sarkozy"
"5393",15.99,23.09,35.7,"15169",35.7,"hollande"
"5394",22.7,29.19,20.54,"15170",29.19,"sarkozy"
"5395",15,34.17,22.5,"15171",34.17,"sarkozy"
"5396",8.99,35.96,35.96,"15172",35.96,"hollande"
"5397",15,27.5,25.83,"15173",27.5,"sarkozy"
"5398",16.2,41.67,15.28,"15174",41.67,"sarkozy"
"5399",15.42,33.33,28.93,"15175",33.33,"sarkozy"
"5400",20.79,34.27,23.6,"15176",34.27,"sarkozy"
"5401",27.55,32.65,21.43,"15178",32.65,"sarkozy"
"5402",20.22,37.08,21.91,"15179",37.08,"sarkozy"
"5403",6.56,31.15,19.67,"15180",31.15,"sarkozy"
"5404",10.44,27.38,32.48,"15181",32.48,"hollande"
"5405",5.56,22.22,42.22,"15182",42.22,"hollande"
"5406",25,27.38,26.19,"15183",27.38,"sarkozy"
"5407",11.67,28.4,28.4,"15184",28.4,"hollande"
"5408",12.42,23.6,29.81,"15185",29.81,"hollande"
"5409",18.71,26.62,30.94,"15186",30.94,"hollande"
"5410",15.14,30.59,27.08,"15187",30.59,"sarkozy"
"5411",20.16,27.77,24.7,"15188",27.77,"sarkozy"
"5412",15.43,26.06,30.32,"15189",30.32,"hollande"
"5413",9.68,46.24,18.28,"15190",46.24,"sarkozy"
"5414",17.96,35.92,25.06,"15191",35.92,"sarkozy"
"5415",16.74,26.24,20.81,"15192",26.24,"sarkozy"
"5416",11.32,29.25,17.92,"15194",29.25,"sarkozy"
"5417",18.45,27.98,27.38,"15195",27.98,"sarkozy"
"5418",18.13,27.92,30.63,"15196",30.63,"hollande"
